old_symbol	updated_symbol
3300002P13Rik	3300002P13Rik
3300005D01Rik	3300005D01Rik
3425401B19Rik	3425401B19Rik
3632451O06Rik	Armh4
3632454L22Rik	3632454L22Rik
3830403N18Rik	3830403N18Rik
3830406C13Rik	3830406C13Rik
3830408C21Rik	3830408C21Rik
3830417A13Rik	Magea9
3830432H09Rik	3830432H09Rik
3930402G23Rik	3930402G23Rik
4430402I18Rik	Spata6l
4631405J19Rik	4631405J19Rik
4632404H12Rik	4632404H12Rik
4632415L05Rik	4632415L05Rik
4632427E13Rik	4632427E13Rik
4632428C04Rik	4632428C04Rik
4632428N05Rik	Vsir
4732416N19Rik	4732416N19Rik
4732456N10Rik	Krt90
4732471J01Rik	4732471J01Rik
4732490B19Rik	4732490B19Rik
4732491K20Rik	4732491K20Rik
4831407H17Rik	4831407H17Rik
4831440E17Rik	4831440E17Rik
4833411C07Rik	4833411C07Rik
4833412C05Rik	4833412C05Rik
4833415N18Rik	4833415N18Rik
4833417C18Rik	4833417C18Rik
4833418N02Rik	4833418N02Rik
4833419F23Rik	4833419F23Rik
4833420G17Rik	4833420G17Rik
4833422C13Rik	4833422C13Rik
4833422M21Rik	4833422M21Rik
4833423E24Rik	Fads2b
4833427F10Rik	4833427F10Rik
4833427G06Rik	Hoatz
4833428L15Rik	4833428L15Rik
4833439L19Rik	4833439L19Rik
4921501E09Rik	Phf8-ps
4921504A21Rik	4921504A21Rik
4921504E06Rik	4921504E06Rik
4921506M07Rik	Ttc6
4921507L20Rik	Alkbh3os1
4921507P07Rik	4921507P07Rik
4921508D12Rik	4921508D12Rik
4921509C19Rik	4921509C19Rik
4921509O07Rik	4921509O07Rik
4921511C10Rik	4921511C10Rik
4921511C20Rik	4921511C20Rik
4921511H03Rik	Tex47
4921511I17Rik	4921511I17Rik
4921511M17Rik	Samt1b
4921513I03Rik	4921513I03Rik
4921515E04Rik	4921515E04Rik
4921517D22Rik	4921517D22Rik
4921518K17Rik	4921518K17Rik
4921524J17Rik	4921524J17Rik
4921524L21Rik	4921524L21Rik
4921525O09Rik	4921525O09Rik
4921529L05Rik	4921529L05Rik
4921530L21Rik	Ccdc202
4921531C22Rik	4921531C22Rik
4921531P14Rik	4921531P14Rik
4921533I20Rik	4921533I20Rik
4921534H16Rik	4921534H16Rik
4921536K21Rik	4921536K21Rik
4921539E11Rik	4921539E11Rik
4922502D21Rik	Clec2m
4922502H24Rik	4922502H24Rik
4922502N22Rik	4922502N22Rik
4930401C15Rik	4930401C15Rik
