"ID","Sets","N_Sets","Size"
"010100000100","MIN6_24h, aTC1_24h, PCCL3_24h",3,3
"010100001001","MIN6_24h, aTC1_24h, PCCL3_6h, QGP1_24h",4,3
"010100001101","MIN6_24h, aTC1_24h, PCCL3_6h, PCCL3_24h, QGP1_24h",5,3
"010100100001","MIN6_24h, aTC1_24h, GLUTag_6h, QGP1_24h",4,3
"010101000100","MIN6_24h, aTC1_24h, MGN3_24h, PCCL3_24h",4,3
"010101010000","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h",4,3
"010101011111","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_24h, PCCL3_6h, PCCL3_24h, QGP1_6h, QGP1_24h",8,3
"010101100000","MIN6_24h, aTC1_24h, MGN3_24h, GLUTag_6h",4,3
"011000000010","MIN6_24h, aTC1_6h, QGP1_6h",3,3
"011001000000","MIN6_24h, aTC1_6h, MGN3_24h",3,3
"011010000000","MIN6_24h, aTC1_6h, MGN3_6h",3,3
