Geneid	KRS7_10_aTC1-6_1_DMSO	KRS7_13_aTC1-6_2_DMSO	KRS7_16_aTC1-6_3_DMSO	KRS7_11_aTC1-6_1_Tg6h	KRS7_14_aTC1.6_2_Tg6h	KRS7_17_aTC1-6_3_Tg6h	KRS7_12_aTC1-6_1_Tg24h	KRS7_15_aTC1-6_2_Tg24h	KRS7_18_aTC1-6_3_Tg24h
Ndufa3	8.38200663442385	10.515235497504	3.13218403821603	2.1793437698652	5.56785916657615	6.24216058194824	2.52453715129031	7.73615277599872	9.30528448533062
Tfpt	1.71195428681724	1.87211291306355	1.49856473684737	2.30600905214774	2.33666868614547	2.29704359027145	1.7637937595973	2.19775886772307	2.22757226317296
Prpf31	5.43116486235614	5.07492631842024	4.59894443093498	4.36828267056556	4.39489765704169	4.7353017833021	6.44222486262968	5.82650593836762	5.46057780514011
Cnot3	10.0921605004722	10.3241332468587	11.32417807795	14.5964529441425	13.1956459780824	12.9735938656	16.4361096202587	10.9031702738616	10.2276733094256
Mir3572	0	0	0	0	0	0	0	0	0
Leng1	5.08718186943329	6.34304188502288	4.82183869697043	6.77160710991603	6.61553579066757	6.06426735315386	6.21882064301115	5.33922936037288	5.85397214815489
Tmc4	0.818578378978283	0.80187142673888	1.09531164161848	1.29618825837054	1.22887263412384	0.927304607847805	0.672173374319554	0.907253987989167	1.02280629122747
Mboat7	9.11581129123874	9.68391031810416	9.20780622537399	6.58139873536853	6.44834998586717	6.72819139262159	7.29927578668084	8.87775488754093	8.28540196588145
Tsen34	31.0441249919692	36.1457627225346	31.0446683288896	24.5408336072777	27.243276454756	26.1453770722697	12.8694626780166	28.9908837504629	24.4414057866404
Rps9	80.752019000905	101.812890142965	67.9321817543682	69.4788075380632	77.2392261819438	79.7571693885705	61.97341972295	110.386044042711	101.903567972074
Pirb	0	0	0	0	0	0	0	0	0
Pira6	0	0	0	0	0	0	0.0287208507088365	0	0
Pira2	0	0	0	0	0	0	0	0	0
Pira1	0	0	0	0	0	0	0	0	0
Pira7	0	0	0	0	0	0	0	0	0
Pira4	0	0	0	0	0	0	0	0	0
Pira11	0	0	0	0	0	0	0	0	0
Gm14548	0	0	0	0	0	0	0	0	0
Lilra6	0	0	0	0	0	0	0	0	0
Lair1	0	0	0.0365793352665103	0.0697865148585689	0.0448060842192978	0.0539603090118155	0.0226450039058431	0.00866759835686996	0
9430041J12Rik	0.0380249387911049	0.0447702651315239	0.055304202036898	0.07034003377535	0.0722583492518878	0.0815824511249405	0.0273895380987236	0.00524180778256936	0.140375824675881
Ttyh1	48.1979334574576	46.5431339372119	46.8539905036192	52.2905825948591	41.1288745992839	40.1465016312188	36.4368977334188	34.8106038579084	33.5621642805432
D030047H15Rik	0.221012486624186	0.221185615214674	0.225011366778593	0.224860695309148	0.131246081151273	0.0711272955115332	0.0994976934075772	0.167568378831019	0.282429312829289
Leng8	19.3194977508086	20.8980703942609	21.0778570582175	13.8767682670487	14.1439655459984	14.3133658149578	14.9605756048594	16.0894206469624	16.4436622136164
Leng9	0.81742351213889	0.936117058925187	0.663718087775416	0.630949161691257	0.673859180663364	0.736840346562508	0.338874193414145	0.642051809770618	0.507675673389227
Cdc42ep5	0.137080790075772	0.111511240889067	0.0434995497973835	0.133704479028032	0.062755139576123	0.0641687207227808	0.0359054264887461	0.0893305123747734	0.0424664154797669
Lilra5	0.0572852429832475	0.215831028626609	0	0.169549608414922	0.0489863166576343	0.0983243247077493	0.0412628236906283	0.236906284698247	0.130140715843333
Ncr1	0	0	0	0	0	0	0	0	0
Gp6	0	0	0	0	0	0	0	0	0
Rdh13	35.1672021926389	31.9095247671093	34.8017792540558	36.0158780533279	35.4765571094134	37.762141440449	33.307325167364	46.2576764052277	45.9729800673604
Eps8l1	0.254284111847209	0.315457064925121	0.339166399040157	0.353362235803861	0.293463591363901	0.303388029735837	0.151890450593446	0.338565828317551	0.500189019451486
D630041G03Rik	0.104367007572532	0.073728538404891	0.182152058820765	0.11583732788653	0.168578299789858	0.11195963182371	0.112764052528587	0.0719359202052353	0.14818821969438
Ppp1r12c	11.873513146984	13.2364190348979	14.2146879759595	19.3825188266032	18.1001152111836	17.2413921754999	12.2993245765242	18.826635535809	16.4880425489212
Tnnt1	0	0	0	0	0	0	0	0.0116821556366353	0
Tnni3	0.0109551906987193	0.0309565337533357	0	0.0405306889773918	0.0208180215615303	0.0188034766268025	0	0.0241630911458611	0
Dnaaf3	0.00913637525453043	0.0516340640210079	0.0318914875779154	0.020280993403359	0.0312511458807837	0.0784083195248907	0.0131619461371354	0.0453407810690675	0.0518900834629267
Syt5	5.123935083303	5.35090318134907	5.22744529457083	7.21186984797477	7.26743689572968	6.53230735392432	4.76058933650259	5.71217224580092	5.56722661547302
Ptprh	0.0348777499795963	0.0328518317382338	0.121744488293471	0.0258072958386658	0.053022226344469	0.029932064834502	0	0.019231848054869	0.118853000693656
Tmem86b	6.84053639007718	5.14693105930461	6.12246624023218	7.30781121427314	6.21490258844473	6.28738775567047	5.18966877012157	5.49049017915927	5.19543998558505
Ppp6r1	199.552894865869	190.049274946193	202.485432929701	159.051486310038	167.070845162942	167.648714301572	138.288791156598	168.149900714867	158.045552800654
Hspbp1	23.2937114879772	22.4365010582037	22.777286991633	22.1290799477008	22.8451224178198	19.7930020427867	14.1243307463454	24.2735952931763	20.2182301308329
Brsk1	41.2370151397516	45.0573089366733	48.2090698356743	49.6989247508193	49.2828909128695	45.6422456196001	36.5768278997332	45.814955005697	42.2712923471843
Tmem150b	0.157150321747146	0.074011023226366	0	0.0290702872665431	0.0746577324965224	0.101149736337282	0.226392197413715	0.108317305136619	0.0892535943906382
Suv420h2	39.6957376127829	44.4338939516079	42.0013685223973	34.2477398088176	30.3116084012734	26.7123029063123	26.2054174634437	36.4214305315383	34.9886991319295
Cox6b2	0	0	0	0	0.0150082168279274	0	0	0	0
Fam71e2	0	0	0	0	0.0367654116633819	0	0	0	0
Il11	0.0394893138408265	0.0743910541543574	0.183788855241491	0.321415127377068	0.292660228144584	0.372786768965774	0.796441356883552	0.435493966223222	0.627983248851203
Tmem190	0	0	0	0	0	0	0	0	0
Tmem238	0.730601667697591	1.2314509127077	1.16326858564411	1.05274411549878	0.891469319307851	0.990003044401151	1.38488352011671	1.48421787363452	1.35403281040247
Rpl28	277.925790811737	348.150133442393	192.656667506893	168.216989846344	266.268278852674	285.656334146592	179.938857987334	332.151248038451	322.245118553361
Ube2s	129.00740576661	146.673711089231	93.8538483073995	94.2626255676642	98.1051331997652	105.499561067481	79.8792357099379	127.121561390682	114.064177404257
Shisa7	5.5223664419501	5.96961321255892	7.50356752185638	4.05877249348925	4.89489375405061	5.1845942566229	8.11575113475626	3.90341636990283	3.19958005722777
Isoc2b	2.341976322704	2.74251958288812	1.7491376327349	1.83829191561904	2.60109613843787	2.21358705401081	0.889061025260112	1.80619106315312	1.74354417375601
Isoc2a	19.7572195472654	19.9313995616555	15.5546487396129	15.7120889370701	21.2704898889819	21.7729361025559	12.9809970288971	24.1099497497276	21.0160070638311
Zfp628	17.258101838209	15.5189825888587	18.2604351644786	24.5752817800356	25.3544872254381	24.3417697696825	22.5336979544414	24.0062358253719	17.2344908836357
Nat14	16.6811037039166	19.7296308454593	14.6162756030965	15.0449917484079	15.3109609244535	16.1709898990502	6.56537372499775	11.3727615659853	11.4153058671924
Ssc5d	9.63592651717979	8.03146775876965	8.95326114021212	4.80888061895138	3.5699939676923	2.91516389412395	5.81729100055786	3.42116699403562	3.09071369353113
Sbk2	0	0.0981105494123777	0.080796567851649	0	0.0131957120868572	0	0	0	0.0788776121984985
Sbk3	0	0	0.0396377403746184	0	0	0	0	0.0187845957745233	0
Zfp579	15.8471813089111	16.79728440181	17.8257028630171	12.2357183811843	12.6310260149452	12.7652566462968	9.63397231385538	14.4594611592928	11.1411769345879
Fiz1	22.1978850714562	23.3107451956951	24.7289597767035	32.4539556367212	31.376512981864	28.9130878883448	20.6385916611048	28.7858837196787	30.5078743295357
Zfp524	3.80801956989284	4.95917672691758	4.46929389532888	6.39493123428692	4.71305666351325	4.5468385246985	3.67314638704799	4.43690534575658	3.53565288177597
Zfp865	16.1359877528302	16.7096912009417	18.8479887244524	19.5734881143971	19.4199189944766	19.9215336542072	23.9253496481513	20.3272374864114	18.2931538736346
Zfp784	3.23002842561041	3.04240813727783	3.31084135914094	3.07287471550994	3.74124829086574	4.05901248204472	2.16041829138207	3.28648243447644	3.5379566981484
Zfp580	5.37004450610704	6.23053028938815	7.6965035813181	7.18385611076183	5.16313889852135	5.85990241310277	4.14984749611852	3.92196300217214	3.59526892040486
Ccdc106	0.0625883529644025	0.589528292840737	0.218471289267225	0.231556815154662	0.374648147133363	0.241709797208827	0	0.224325910271748	0.177735413041378
U2af2	160.366332715886	157.346054576582	149.819615265506	136.232477713597	153.597475954801	153.124848990294	151.10158632756	182.592906283092	178.973105865427
Epn1	113.457320683627	128.516365759971	144.51070760435	93.1643379775837	75.4572558664726	76.4464935873179	79.7893888415542	99.2363359631243	93.6561645466007
Rfpl4	0	0	0	0	0	0	0	0	0
Rasl2-9	0.134176397856952	0.185361134937101	0.135303121331098	0.18532625124504	0.146185007003514	0.207270192488755	0.193295751571975	0.167701267656125	0.213375523780934
Vmn1r55	0	0	0	0	0	0	0	0	0
Vmn1r56	0	0	0	0	0	0	0	0	0
Vmn1r57	0	0	0	0	0	0	0	0	0
Nlrp2	0	0	0	0	0	0	0	0	0
Gm5065	0	0	0	0	0	0	0	0	0
Vmn1r58	0	0	0	0	0	0	0	0	0
Vmn1r59	0	0	0	0	0	0	0	0	0
Vmn2r28	0	0	0	0	0	0	0	0	0
Vmn1r60	0	0	0	0	0	0	0	0	0
Vmn1r61	0	0	0	0	0	0	0	0	0
Vmn1r62	0	0	0	0	0	0	0	0	0
Vmn1r186	0	0	0	0	0	0	0	0	0
Vmn1r63	0	0	0	0	0	0	0	0	0
Vmn1r187	0	0	0	0	0	0	0	0	0
Vmn1r64	0	0	0	0	0	0	0	0	0
Vmn1r65	0	0	0	0	0	0	0	0	0
Nlrp4c	0.0765799738162903	0.0144263458267972	0.0445517544912627	0.0283321321007011	0	0.0657208891810572	0	0.012668028367733	0.00869872596562977
Zfp787	3.69115850386474	3.49100187868942	2.91306691266064	4.08563695566347	5.20751727233163	4.96583774423002	1.16593094981058	3.61605085234079	3.94362848084733
Zfp444	2.52606277257765	2.69317165084688	2.5064031529476	2.043996335627	2.75498880360902	2.54690959533596	1.21116261507436	2.28374078001483	2.40286638329325
Galp	0	0	0	0	0	0	0	0	0
Zscan5b	0	0	0	0	0	0	0	0	0
Gm6792	0	0	0.0171421836964945	0	0	0	0.0106121342537679	0.00812379788524639	0
Zfp667	2.17984065043188	2.25232214831657	2.23657460843024	1.51518806704058	1.62931483571228	1.62697515564028	1.55111712281056	1.46423040019897	1.68823834998611
Zfp583	0.844481982286106	0.88220326986796	0.768202556029976	1.28948887672639	1.4355301340669	1.15298582660478	1.11703107986454	0.795844301738499	0.671473478837779
