Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_40_PCCL3_2_DMSO	KRS7_43_PCCL3_3_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_41_PCCL3_2_Tg6h	KRS7_44_PCCL3_3_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_42_PCCL3_2_Tg24h	KRS7_45_PCCL3_3_Tg24h
Slc2a9	0.240889676340522	0.288150510577782	0.520451270736157	1.98883984383392	1.82666577803741	2.88445510814153	3.12066599183644	1.36558225638007	3.04910881999633
Serinc5	0	0.0451381457517531	0	0	0	0	0	0.0950735407160726	0
Slc25a10	58.3968552511304	95.5720833835938	24.6243581190437	24.5898217642826	17.7856002968402	13.8411353217797	13.0563344295486	10.1932182193207	15.7815480200211
Syf2	86.7958623778425	71.2231590549947	89.4778878740888	75.942797919058	130.840694046001	67.2018283632986	97.1071532514804	137.496631350558	96.4692175089294
Mir425	0.00965040030917447	0.0346312198008566	0.0729751940022077	0.0270597380445672	0	0.0192592634730014	0.0284852373548263	0	0.0505455949729031
Mir423	0	0	0	0	0	0	0.15828630887923	0	0
Ankrd9	3.69718233955075	6.1312529506641	2.67776276835255	2.55245773153459	0.81095069115161	2.55730414656524	1.36412885880565	1.95829035558405	2.67730464648008
Izumo1	0.0199316635447985	0	0.0215315570541761	0	0	0	0	0	0
Phkb	73.6434010235748	69.7193584992354	61.236482699547	41.0337064448917	49.9408379043402	35.3914682720623	55.0314879206575	56.368327148547	62.349105757035
Sept6	27.3507466255402	34.6767584914609	18.6989535688347	13.4691231064056	30.0051755726096	10.0615245110764	12.9798927777265	20.2180247522461	13.2764970140519
Wdfy2	54.2405855960467	61.1602051848486	56.6025416207459	51.0200353809439	44.3295523597269	54.5071681531475	59.7550758498615	55.2640794333425	51.2388956751519
Neil2	0	0.0133609667349756	0	0	0	0	0	0	0
Rnf219	0	0	0	0	0	0	0	0.0760545296291734	0
Ankrd37	0.807969508471208	0.427484792119543	0.587477937737632	4.73441400479346	2.07798102260934	1.7054879807287	3.45504196055839	2.85779878270077	2.54997669315541
Ankrd13d	3.42063340403542	3.48662117799117	3.17475275149056	2.28528955640539	1.46133262242993	1.874895820292	3.51963721357756	3.00428096403615	2.43928705599707
Dapl1	0	0	0	0	0	0	0	0	0
Il1f10	0	0	0	0	0	0	0	0	0
Dmtn	2.40076775295503	3.3743429587964	2.07477986894144	1.08456079435169	1.10333427367566	1.05805714104573	2.08654630639825	2.36910287548135	1.71151895208772
Entpd4	22.760280516051	19.0386017992718	23.9747309846286	10.4473797583711	7.90088880202765	12.5073786589065	24.1671456302535	19.2595180004284	30.2446137488592
Ebf2	2.48172387485701	4.45293056462642	0.382989888598202	0	0	0	0	0.446624540108062	0.154743407865549
Ccdc25	12.2757708297312	13.5418550070362	13.1110786806334	10.8732948697729	19.8694417633516	10.6900287336402	12.7102927364266	18.81113381913	12.2924074316521
Gbp5	4.51059710450815	3.7411612019154	2.24108310070453	18.2591380971012	19.0683461483493	3.87358814909124	3.35556096039853	4.53392973860216	4.28048981427671
Vopp1	0	0.0330017260046425	0	0	0.0760752975153306	0	0.0271449288753592	0	0.0722509293188163
Impdh1	46.4574430538964	54.4454238740599	37.8114471338173	56.27900092248	27.9340934913897	72.3447430678908	71.1183764648266	60.5946294156955	59.5032869739548
Rcbtb1	117.397279008637	115.222640055642	113.060595369939	96.8892823803064	86.1088676677156	91.2556659749099	96.7955315046505	81.2667498587496	99.1506895051384
Sdr39u1	17.741223550384	17.9242824477782	18.6849596108645	10.2651341769883	5.45605694171824	8.29691477824836	18.8118881261052	9.52240738222064	24.1039937846969
Mir377	0	0	0	0	0	0	0	0	0
Mir370	0	0	0	0	0	0	0	0	0
Mir483	0	0	0	0	0	0	0	0	0
Camp	0	0	0.738974079923453	0	0	0.170648185484335	0.168263757836361	0	0
RGD1308428	327.953959844782	330.529728536096	336.114016997442	383.252575876867	311.600831946236	417.48252861716	257.020176163464	247.018280538352	293.451482093695
