Geneid	KRS7_28_MGN3_2_DMSO	KRS7_31_MGN3_3_DMSO	KRS7_34_MGN3_4_DMSO	KRS7_29_MGN3_2_Tg6h	KRS7_32_MGN3_3_Tg6h	KRS7_35_MGN3_4_Tg6h	KRS7_30_MGN3_2_Tg24h	KRS7_33_MGN3_3_Tg24h	KRS7_36_MGN3_4_Tg24h
Mir1951	0	0	0	0	0	0	0	0	0
Meis2	30.7037139981414	34.4822929318718	20.0068827049066	17.4735537924516	25.1354793406347	16.6856741416812	17.7221861267001	16.3479158323604	28.866343221066
2810405F15Rik	0	0	0	0	0	0	0.00307782509279103	0	0
Tmco5	0	0	0	0	0	0	0	0	0
D330050G23Rik	0.0166799843343891	0.00674637117887774	0.0106414711652889	0.021569422055297	0.0331428323811528	0.0481500864789139	0.0154397828040758	0.0160129056719636	0
Spred1	7.99542083723396	7.40870007057386	7.13587129711004	4.87963399176075	8.15352185730712	5.81727451371365	4.31581641164469	4.66631507067442	5.47077851613845
Mir674	0	0	0	0	0	0	0	0	0
Fam98b	11.4660231616176	17.1874602213399	12.2033497125737	11.9178818985841	17.394817707592	12.1928497480916	12.1225211439208	11.8421545185969	18.6090961315075
Rasgrp1	5.38663196394529	6.93139009399118	4.95019876302302	3.75274765191883	6.56756121238863	5.01039138269605	1.5430988858707	1.78303953459453	2.01080894152556
Gm13985	0	0	0	0	0	0	0.0066662534766169	0	0
4930412B13Rik	0	0	0	0	0	0	0	0	0
Gm13986	0	0.0193102178449325	0	0	0	0	0.0126267064394395	0	0
Thbs1	0.465817180157996	0.350821222435729	0.258240336581419	1.00947749995238	0.765989343679701	0.619645909024532	0.52251663279953	0.573634087629261	0.2011482096121
Fsip1	0	0	0.128647200641293	0	0.100167837250422	0.0992211659662516	0	0.0967918559771459	0
Gpr176	0.00945407652190056	0	0.00723779692009582	0.0586817721328992	0	0.0372150939861879	0.0600078212551779	0	0
1700054M17Rik	0	0	0	0	0	0	0.0052564473430663	0	0
Eif2ak4	5.86169379096582	7.29900185564229	6.84169203410511	6.68029163865523	7.3663016267708	6.32454915965526	5.91634883332356	5.43538783022393	6.69247726869114
Srp14	11.4853333610859	14.8114217556749	15.9619396568473	17.027616952081	10.7683733096953	15.5739219816512	21.7626317262395	22.8886527588756	20.1814547548626
Bmf	1.8545793440882	0.83732256226845	1.44458233691481	2.40937045069254	1.05408602674186	1.99487108935109	0.872601392891804	1.09308867954447	0.405076354993765
Bub1b	23.0170784231636	27.9927875812887	23.0854016098152	22.3668366026337	19.3587525465027	20.9931098518069	12.0097819212945	12.5167152703078	14.6194844492163
Pak6	6.6712086644404	3.29010095646818	6.11229097880539	7.74738131895739	2.56559478071354	6.82210678780216	2.51560589820319	1.52053055711909	1.01576729587897
Ankrd63	0	0	0	0	0	0	0	0	0
Plcb2	0.26334650352968	0	0	0.175135782617074	0.0448512704106369	0	0.0895466884918687	0.173358548018768	0
Inafm2	15.3819697911925	10.4450648195766	18.4095141382811	20.1463975490545	13.8293734994575	18.5759798746119	18.3175554186935	19.7035204493011	10.7934745909129
A430105I19Rik	11.4084313405735	11.8913328463644	13.0817628872971	26.8471470079361	15.7579985686746	23.0476159288172	13.996065006351	14.5900362046532	13.724876775255
Phgr1	0	0	0	0.025322587426871	0	0	0	0	0
Disp2	60.698138983822	39.7751852165865	74.2352823700551	71.6096013520569	47.0029987825089	76.0194488741432	106.791360618591	109.697436774099	66.048170588141
Knstrn	32.9879748476069	50.1157634654699	35.8337303367669	32.5320523900819	33.1703075322755	29.5438072264163	16.7545170712305	20.4643494567494	24.5830219775904
Ivd	8.06960812641262	4.11717173094172	8.38427067836956	9.48438055787398	4.2008655542527	7.79147954451216	7.17048154409814	7.27914591631644	4.08571869507485
Bahd1	55.8725556916189	30.289555071294	59.7516393148689	100.157582772003	41.3547365888323	104.116576990295	61.8260355519429	61.0831629478456	38.4267081372681
Chst14	0.786154456369472	0.304142645319802	0.854815022341832	0.751401116484415	0.366748027206867	1.04051125366556	1.81699447159944	1.28629510968238	0.406083953715666
Ccdc32	1.68802269325639	1.83045861167048	2.31413041646467	1.94062116863838	1.46420246098898	1.78812061890233	2.26034252744709	2.13197190899515	1.59363594234471
Rpusd2	6.89595228721375	8.13333871587567	5.99927618884616	10.1957420075315	14.4016142166005	10.934041070718	13.0661511299959	11.0829880122176	18.3256983224798
Casc5	10.0574525343775	14.6260119696358	9.26259844617308	8.66309437718298	19.4345439481117	11.2031502641498	6.41148378929272	6.64701300056914	12.3759002020593
