genes	logFC_TgvDMSO_6h_MIN6	logFC_TgvDMSO_24h_MIN6	logFC_Tg_24hv6h_MIN6	FDR_TgvDMSO_6h_MIN6	FDR_TgvDMSO_24h_MIN6	FDR_Tg_24hv6h_MIN6	MIN6_DMSO_24h_n_1	MIN6_DMSO_24h_n_2	MIN6_DMSO_24h_n_3	MIN6_Tg_6h_n_1	MIN6_Tg_6h_n_2	MIN6_Tg_6h_n_3	MIN6_Tg_24h_n_1	MIN6_Tg_24h_n_2	MIN6_Tg_24h_n_3	avg_expression
Cel	4.58247021152874	2.55641671464194	-2.02605349688681	0.0255600431050295	0.37640656482245	0.145347201040944	0.127022819695075	0.031037561233373	0	0	5.60718343612417	1.89272139846898	0.676217616895962	0.289376761054851	0.129968931632034	0.97261428056716
Cela1	2.29400407651806	-0.32867429505157	-2.62267837156963	0.0372595179684991	0.868728517069889	0.0297664798556956	0.760701307640439	0.68630614604283	0.433069820344121	0.78475503491283	7.40800972443959	6.07530115336605	0.685327601065718	0	0.838217350209132	1.96352090422452
Celf2	-0.616019492569806	-0.547568450218502	0.0684510423513039	5.09457782869151e-05	5.83442811843316e-05	0.600052981396856	49.8391457502658	46.1797427725156	51.6153516822077	39.5471200558505	36.4299897646044	38.007923250082	39.5975685152179	32.8607664852155	37.2461091287054	41.2581908227405
Celsr1	-0.996897148718545	-0.924007721603499	0.0728894271150461	0.000903505537209488	0.000432644377810727	0.825551667008308	8.45142594875893	10.1665231161501	8.11811913542448	3.89162313775736	8.99521859052421	4.93220376591723	6.19223793082051	4.50603949407375	4.65631634460517	6.65663416267019
Cend1	-0.851286746242061	-0.955262194086016	-0.103975447843954	0.0011519097147791	9.88426993182873e-05	0.719371806956026	22.223665694092	25.0422357662106	26.8414426972488	13.6664570522906	20.9496340817594	17.046394176964	12.2676159762831	14.4907926651857	14.8663436861472	18.5993979773535
Cenpf	-0.592490345835979	-0.888379727363243	-0.295889381527264	0.00108172690570305	8.55089141387822e-06	0.0775144118749811	59.9524239090722	45.8513019633265	55.7391464148716	48.0785263277885	42.3198304514227	36.1255387240274	37.513874537321	32.6712957039519	24.9527552835274	42.5782992572566
Ces5a	2.85473380522099	0.471675328913232	-2.38305847630776	0.0136964927366423	0.807107441892774	0.029773897759261	0.205128769047989	0.10024492835755	0.253024416957527	0.416817494411752	3.87258872963865	2.16916457803168	0.254805085119857	0.22253031432714	0.349810727239944	0.871568338125788
Cetn4	-0.739963156397149	-0.561403125034275	0.178560031362874	0.040272450793967	0.0721365783179354	0.675282549453189	14.9725599862955	22.8170330700289	20.0946032408588	13.7093989720062	18.9347712399087	10.5748868045685	13.3388554373448	11.694756014755	17.1957242051873	15.9258432189949
Cfap43	2.73250348131541	0.651561101185262	-2.08094238013015	0.0128241492324282	0.690670805808712	0.0375196953518888	0.0761773812750098	0.117000176177864	0.103552259043104	0.331694769178344	2.24784740127385	0.648623879280273	0.278082697810789	0.0708340146328025	0.144753525923117	0.446507344955017
Cfap44	1.7372955978814	-0.477508909568328	-2.21480450744972	0.0436474963307772	0.719593585916469	0.0235262606746319	0.403075070943378	0.0864789530825653	0.291037655355065	0.467452303811885	2.62022874076935	0.945094698975314	0.272151139936831	0.230366031608172	0.110650292774075	0.602948320806293
Cfap46	1.00148414128351	-0.133645489524968	-1.13512963080848	0.0232068442881807	0.812135738071266	0.0159908853870363	1.26064040194089	1.13972161790296	1.62440725161948	2.12292244021962	6.64108282737187	2.59042241775899	1.45128287107059	1.52827447938082	1.03996506159986	2.15541326320723
Cfap57	3.70995376034851	0.761331840692382	-2.94862191965613	0.00556635285827741	0.74744185428499	0.0143329878802083	0	0.113679550335122	0.210808826539783	0.202576512688433	3.59814755144897	2.84322823054454	0.37151170177039	0.108151446732035	0.10200642464676	0.83890113830067
Cfap58	3.93219791083407	1.74614225205209	-2.18605565878199	0.0062598521659112	0.385672807847195	0.0440864508738435	0.0773908838680304	0.07564071724199	0.0409118275721203	0.141531034425371	2.64277876614301	2.08315258946399	0.308998094895509	0.327428909134625	0.118778781464612	0.646290178245473
Cfb	2.55713793285411	0.422949460112889	-2.13418847274122	0.0269105402445639	0.817906206916184	0.0528113556861116	0.424072180350757	0.184214196705101	0.199272025087357	0.143617676905978	3.21809063441877	3.85025456341559	0.351180215603851	0.398707572280786	0.433907925736216	1.02259077672271
Ch25h	5.66804883077396	3.54765289983872	-2.12039593093524	0.0409475911153067	0.385649622132825	0.203098620123835	0	0	0.0506102304840023	0.175081845470735	2.07319300486594	2.8530815163312	0.0509664017468184	0	0.734680147927383	0.659734794091786
Chat	2.16016039900279	-0.754178541781546	-2.91433894078434	0.0490927330192735	0.697636618703079	0.0246047682956258	0.529721321208801	0.11255257970394	0.243505450584951	0.252716001860961	4.3736256700517	1.99266995125233	0.343306780165046	0.179893189332929	0.0471310823249263	0.89723578072062
Chchd10	-0.761322460990482	1.28596712909987	2.04728959009036	3.35769626523047e-05	2.33580957727711e-09	1.70337157963159e-10	172.376866827497	173.616390889224	157.926127818823	122.933065241875	132.824314708373	101.19876643431	448.401542376074	453.510161026071	439.435445847138	244.691409018821
Chd5	1.14410418329671	0.458589859782628	-0.685514323514084	2.98116989909563e-06	0.00860228724083948	0.000456500426317775	5.31471860092609	5.40791059272835	6.93916091218902	14.0073351306738	19.6382912339483	14.2192057964079	8.11391992996176	9.51209417789979	8.79571526879791	10.2164835159481
Chit1	5.32576712185623	3.81283639790586	-1.51293072395037	0.0263830815621707	0.200628494394144	0.259565926990171	0	0	0.110899565015188	0.127882579727949	3.49452305520353	3.76453020624367	1.56352034402557	0.182063699631022	0.0357748085718646	1.03102158426875
