genes	logFC_TgvDMSO_6h_PCCL3	FDR_TgvDMSO_6h_PCCL3	logFC_TgvDMSO_24h_PCCL3	FDR_TgvDMSO_24h_PCCL3	logFC_Tg_24hv6h_PCCL3	FDR_Tg_24hv6h_PCCL3
Pdk3	1.36409072845241	0.00065006927098187	1.39915900432399	0.000803769073461967	0.0350682758715857	0.911017641151396
Mnx1	-2.55254742922014	0.000650414293467186	-3.15090221545078	0.000362495288794142	-0.598354786230637	0.252758011734548
Mgat5	-2.41073531960312	0.000651329874844261	-1.45246897075064	0.00822025844298553	0.958266348852473	0.0604014484790698
Rarg	1.3869583317978	0.000662152943406335	0.471626529402423	0.100123450391039	-0.915331802395381	0.00965057109608346
Atp2b1	1.83564553780057	0.000663496359360483	1.67443401895655	0.0013638588812817	-0.161211518844024	0.666016659582687
Map3k14	1.24094918166218	0.000663496359360483	0.313330563842956	0.221915543183791	-0.92761861781922	0.00598701021437094
Tmem41b	1.51579527287386	0.000663496359360483	1.43460791186922	0.00113636554076273	-0.0811873610046449	0.802681387974122
Acvr1c	-3.83791070064666	0.000669316403795149	-2.66277981113854	0.00209374353547806	1.17513088950812	0.244999504912509
Rai14	1.72485441682611	0.000676476101723134	0.457081661021293	0.192391291201747	-1.26777275580482	0.00623608235536287
Asic1	-2.40876624984918	0.000676476101723134	-1.81287265927153	0.00273807418811592	0.595893590577648	0.228849204393863
Rnf144b	2.25558683231484	0.000691086209718666	0.597137231949859	0.201077367234596	-1.65844960036498	0.00598701021437094
Kdelr2	1.22024790292099	0.000695609959761139	1.11302867909981	0.00139188214264048	-0.107219223821177	0.675862102921532
Ret	-4.45020558969841	0.000730339514730975	-4.07300677085132	0.00111060922122176	0.377198818847086	0.759130498059341
Sec23ip	1.25361968470219	0.000734546963019898	0.65875806274168	0.0205391673288862	-0.594861621960512	0.0356726787806063
