Geneid	KRS7_37_PCCL3_1_DMSO	KRS7_38_PCCL3_1_Tg6h	KRS7_39_PCCL3_1_Tg24h	KRS7_40_PCCL3_2_DMSO	KRS7_41_PCCL3_2_Tg6h	KRS7_42_PCCL3_2_Tg24h	KRS7_43_PCCL3_3_DMSO	KRS7_44_PCCL3_3_Tg6h	KRS7_45_PCCL3_3_Tg24h	KRS7_46_PTH-C1_1_DMSO	KRS7_47_PTH-C1_1_Tg6h	KRS7_48_PTH-C1_1_Tg24h	KRS7_49_PTH-C1_2_DMSO	KRS7_50_PTH-C1_2_Tg6h	KRS7_51_PTH-C1_2_Tg24h	KRS7_52_PTH-C1_3_DMSO	KRS7_53_PTH-C1_3_Tg6h	KRS7_54_PTH-C1_3_Tg24h
Gcsh	72.4583353808416	41.9494198489463	79.1581649952224	82.5583320614728	52.9499220837073	73.8462652651835	86.2003278094494	43.8257553344008	75.0456368317059	45.912825200177	30.7212896741974	55.190281302474	54.3554876315213	41.8134226632867	51.8953651696574	53.6439102559419	35.0928303641907	45.1089814957568
Uggt1	263.818680779328	465.635224603411	574.770820540999	317.200270411253	476.213839144714	599.186906792481	253.084828973562	519.777836783037	492.155693411798	224.808210226397	379.102397144156	623.90001457154	279.034486745164	511.640380651459	731.67724645377	289.482041475942	541.048275281848	871.506123186029
Camk2g	17.4462099119616	8.40152094180571	12.7651449679409	19.5448545695512	8.05855209630445	15.4515411952655	14.4458700636323	10.5158934948753	10.0113206089546	34.8547218008838	48.7973217256465	25.3853806015878	31.7350597349886	56.5957926415604	28.4433974492118	35.7097840104382	68.1511619795679	25.320533770531
Gchfr	0.226729730776596	0.24723631764374	0.446161125594431	0.226010404011965	0	0.0476041028939543	0.122464542990147	0.037706964497955	0.197922517425766	2.17456917869552	1.04202054332158	1.17101996879693	2.60410403823418	1.21761724474041	1.56384404247091	1.63622601032675	1.27312690008173	0.927404685573377
Car11	27.7076738253694	17.4622832982321	34.1161010250531	17.2347352120506	7.85855565906138	14.9592715028776	30.2738164611965	15.324915980706	32.8946832423507	0.325401831318151	0.623710473577818	0.516470465700847	3.20910708848548	4.2514232185298	2.13664151848367	0.214238791411477	0.650522972756534	0.388574307427184
Ppil3	12.5665258316596	6.75683115179068	9.47262636708404	11.1123570595563	5.77526861314863	8.78778671327217	12.8636228727416	5.74726234569463	9.61339135182958	12.4969136358082	18.4806558468542	15.1102761945616	17.6376345223128	17.0303885423877	13.9800429754285	18.3067352444571	19.459018108906	15.8557137268543
Ric8b	30.4357756879099	32.8027043844932	28.169815458263	30.4312784298546	40.1104761599103	33.0003177109585	25.4867567014355	30.5797251974131	27.1184474177595	19.0676256420786	43.7827822466311	14.070569392767	14.8733907730659	44.5825780131327	22.0187828889591	20.3359978195351	48.3643101542361	21.2754369323457
Ssx2ip	69.6127994431216	73.7043575344825	61.9065885820317	100.580192287502	114.60993519392	83.9208578066251	68.2451833093467	79.3226590648474	63.9400870572189	159.708540634397	140.315295742666	98.8261916771783	138.200637682372	116.484170796967	93.7697167245647	134.304685785812	108.434485200772	86.2827624779367
Disc1	0.207615032332395	0	0.204273511458929	0.413912698398047	0.0954148024608622	0.348726294610964	0.224280070949531	0	0.0604121475584049	0	0	0	0	0	0.0622609763708601	0	0.113736052824359	0.254765645141948
Cacna2d3	0	0	0	0	0	0	0	0	0	0	0.0599174542747219	0.0248076606244563	0	0	0.191574965492322	0.0411621851229576	0.0499945819427484	0.298630653598542
